03.21.2020,Iberia,LA,3,0
03.21.2020,Iberville,LA,1,0
03.21.2020,Jefferson,LA,166,2
03.21.2020,Lafayette,LA,6,0
03.21.2020,Lafourche,LA,11,0
03.21.2020,Livingston,LA,2,0
03.21.2020,Orleans,LA,418,13
03.21.2020,Ouachita,LA,2,0
03.21.2020,Plaquemines,LA,4,0
03.21.2020,Rapides,LA,2,0
03.21.2020,St. Bernard,LA,12,0
03.21.2020,St. Charles,LA,7,0
03.21.2020,St. James,LA,1,1
03.21.2020,St. John the Baptist,LA,9,0
03.21.2020,St. Landry,LA,3,0
03.21.2020,St. Mary,LA,1,0
03.21.2020,St. Tammany,LA,22,0
03.21.2020,Tangipahoa,LA,3,0
03.21.2020,Terrebonne,LA,11,0
03.21.2020,Unknown,LA,9,0
03.21.2020,Washington,LA,2,0
03.21.2020,Webster,LA,1,0
03.21.2020,West Baton Rouge,LA,3,0
03.22.2020,Acadia,LA,1,0
03.22.2020,Ascension,LA,17,0
03.22.2020,Assumption,LA,1,0
03.22.2020,Avoyelles,LA,1,0
03.22.2020,Beauregard,LA,1,0
03.22.2020,Bienville,LA,1,0
03.22.2020,Bossier,LA,5,0
03.22.2020,Caddo,LA,16,0
03.22.2020,Calcasieu,LA,4,0
03.22.2020,Catahoula,LA,1,1
03.22.2020,Claiborne,LA,1,0
03.22.2020,De Soto,LA,2,0
03.22.2020,East Baton Rouge,LA,20,0
03.22.2020,Evangeline,LA,2,0
03.22.2020,Iberia,LA,3,0
03.22.2020,Iberville,LA,1,0
03.22.2020,Jefferson,LA,184,3
03.22.2020,Lafayette,LA,6,0
03.22.2020,Lafourche,LA,12,0
03.22.2020,Livingston,LA,2,0
03.22.2020,Orleans,LA,451,15
03.22.2020,Ouachita,LA,4,0
03.22.2020,Plaquemines,LA,5,0
03.22.2020,Rapides,LA,3,0
03.22.2020,St. Bernard,LA,13,0
03.22.2020,St. Charles,LA,8,0
03.22.2020,St. James,LA,1,1
03.22.2020,St. John the Baptist,LA,10,0
03.22.2020,St. Landry,LA,3,0
03.22.2020,St. Mary,LA,1,0
03.22.2020,St. Tammany,LA,25,0
03.22.2020,Tangipahoa,LA,3,0
03.22.2020,Terrebonne,LA,12,0
03.22.2020,Unknown,LA,11,0
03.22.2020,Washington,LA,2,0
03.22.2020,Webster,LA,1,0
03.22.2020,West Baton Rouge,LA,3,0
03.23.2020,Acadia,LA,1,0
